model,bugs,result_files,expected_patch_count,missing_results,padded_bugs,truncated_bugs,pass1_est,fixed0_pass,fixed0_plausible,fixed0_avg_aed,fixed0_med_aed,fixed0_avg_ccr,fixed0_med_ccr,all_plausible_patches,all_avg_aed,all_med_aed,all_avg_ccr,all_med_ccr,no_op_fixed0,no_op_fixed0_pct,no_op_all,no_op_plausible
deepseek-coder-v2-lite,371,0,1,371,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
deepseek-coder-v2-lite-sft-v2opt-attnonly-lr5e5-e1-20260620,371,52,1,319,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
deepseek-coder-v2-lite-paft-v2opt-attnonly-w125-lr5e5-e1-20260620,371,0,1,371,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0
qwen2.5coder14b,371,371,1,0,0,0,20.754716981132077,20.754716981132077,77,202.98701298701297,151.0,67.86893263133057,75.0,77,202.98701298701297,151.0,67.86893263133057,75.0,0,0.0,0,0
qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620,371,371,1,0,0,0,18.059299191374663,18.059299191374663,67,88.40298507462687,31.0,74.96039662545881,85.36585365853658,67,88.40298507462687,31.0,74.96039662545881,85.36585365853658,10,2.6954177897574128,10,0
qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620,371,371,1,0,0,0,18.328840970350406,18.328840970350406,68,76.29411764705883,35.5,80.49897017210627,89.44444444444444,68,76.29411764705883,35.5,80.49897017210627,89.44444444444444,21,5.660377358490567,21,0
qwen2.5coder14b-paft-alpha8-20260620,371,371,1,0,0,0,20.21563342318059,20.21563342318059,75,95.4,61.0,72.38088191755848,78.94736842105263,75,95.4,61.0,72.38088191755848,78.94736842105263,6,1.6172506738544474,6,0
opencoder8b,371,371,1,0,0,371,7.277628032345014,7.277628032345014,27,169.62962962962962,89.0,74.70004156428263,83.33333333333334,27,169.62962962962962,89.0,74.70004156428263,83.33333333333334,1,0.2695417789757413,1,0
opencoder8b-sft-v2opt-assistonly-neutral-lr5e5-e1-20260620,371,371,1,0,0,0,2.15633423180593,2.15633423180593,8,59.625,19.5,61.0813492063492,66.66666666666666,8,59.625,19.5,61.0813492063492,66.66666666666666,45,12.129380053908356,45,0
opencoder8b-paft-v2opt-assistonly-w125-lr5e5-e1-20260620,371,371,1,0,0,0,3.234501347708895,3.234501347708895,12,86.25,57.5,58.065725124548656,66.66666666666666,12,86.25,57.5,58.065725124548656,66.66666666666666,47,12.668463611859837,47,0
