model,result_files,normalized_bugs,padded_bugs,truncated_bugs,missing_dataset,pass@1,pass@5,pass@10,plausible_bugs,plausible_patches,avg_aed,med_aed,avg_ccr,med_ccr,cached_avg_aed,cached_med_aed,cached_avg_ccr,cached_med_ccr,stale_aed_count,stale_ccr_count,no_op_all,no_op_all_pct,no_op_plausible
deepseek-6.7b,371,371,0,0,0,5.795148247978435,14.548838403285846,19.40700808625337,72,215,142.89767441860465,113.0,70.64495465051642,75.0,142.89767441860465,113.0,70.64534883720923,75.0,0,0,933,25.148247978436654,0
deepseek-6.7b-trained,371,371,0,0,0,7.412398921832885,18.812304796132295,25.60646900269542,95,275,105.01454545454546,61.0,71.38714832826611,77.77777777777779,105.01454545454546,61.0,71.38745454545453,77.78,0,0,82,2.2102425876010785,0
deepseek-6.7b-trained-diff,371,371,0,0,0,7.115902964959571,17.77585247935652,23.98921832884097,89,264,90.58333333333333,58.0,75.01593285984332,83.33333333333334,0.0,0.0,85.12348484848475,92.31,264,150,97,2.61455525606469,0
deepseek-6.7b-trained-difficulty,127,127,0,0,0,7.795275590551181,14.988751406074243,18.11023622047244,23,99,63.13131313131313,40.0,77.91360306487788,90.47619047619048,0.0,0.0,83.47161616161615,92.31,99,44,35,2.7559055118110236,0
deepseek-6.7b-trained-diffonly,371,371,0,0,0,8.247978436657684,19.930047490694392,26.41509433962264,98,306,111.16993464052288,64.5,68.28638392686338,75.0,111.16993464052288,64.5,68.28696078431362,75.0,0,0,129,3.477088948787062,0
deepseek-6.7b-trained-noprompt,325,325,0,0,0,4.276923076923075,10.291819291819293,13.230769230769232,43,139,76.63309352517986,44.0,76.14863348078775,80.0,76.63309352517986,44.0,76.14892086330934,80.0,0,0,1147,35.292307692307695,0
deepseek-6.7b-trained-prorepair,371,371,0,0,0,10.134770889487871,21.258503401360546,26.41509433962264,98,376,80.65691489361703,42.0,76.33553561332656,85.41666666666666,80.65691489361703,42.0,76.33601063829772,85.42,0,0,326,8.787061994609164,0
deepseek-6.7b-trained-prorepair-0.0,371,371,0,0,0,7.250673854447441,19.247636161382786,25.87601078167116,96,269,120.15241635687732,82.0,75.76036536126466,83.33333333333334,120.15241635687732,82.0,75.76078066914492,83.33,0,0,274,7.3854447439353095,0
deepseek-6.7b-trained-prorepair-0.5,366,366,0,0,0,7.95081967213115,18.760300112759126,23.770491803278688,87,291,120.43298969072166,75.0,74.43990524630382,84.0909090909091,120.43298969072166,75.0,74.44037800687276,84.09,0,0,282,7.704918032786885,0
deepseek-6.7b-trained-prorepair-2.0,371,371,2,0,0,9.137466307277633,20.15787447054293,25.336927223719673,94,339,99.62536873156343,56.0,75.95062323206402,85.71428571428571,99.62536873156343,56.0,75.95100294985252,85.71,0,0,358,9.649595687331535,0
deepseek-6.7b-trained-prorepair-4.0,371,371,0,0,0,8.22102425876011,19.607025200017105,25.067385444743934,93,305,106.9311475409836,58.0,77.80395068327839,87.5,106.9311475409836,58.0,77.8045901639344,87.5,0,0,318,8.571428571428571,0
deepseek-6.7b-trained-prorepair-assist,371,371,7,0,0,8.679245283018869,18.43794121422154,22.641509433962266,84,322,110.69254658385093,69.0,74.30837417101687,83.85416666666667,110.69254658385093,69.0,74.30897515527936,83.85499999999999,0,0,1493,40.242587601078164,0
deepseek-6.7b-trained-prorepair-assist-v2,371,371,0,0,0,9.757412398921833,19.526804432464807,22.911051212938006,85,362,112.17955801104972,78.5,75.07373700180335,84.21052631578947,112.17955801104972,78.5,75.07411602209933,84.21,0,0,1297,34.95956873315364,0
deepseek-6.7b-trained-prorepair-fixed,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
deepseek6.7b-trained-prorepair-fixed,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
