scope,model,denom_bugs,scored_bugs,plausible_bugs,pass_pct_of_dataset,avg_aed,med_aed,avg_ccr,med_ccr,no_op_count,bug_ids
all_fixed0,Qwen14-Base,371,371,77,20.754716981132077,202.98701298701297,151.0,67.86893263133057,75.0,0,"Chart-1,Chart-11,Chart-24,Chart-7,Chart-8,Cli-26,Cli-27,Cli-28,Cli-40,Cli-5,Closure-101,Closure-122,Closure-128,Closure-161,Closure-166,Closure-94,Closure-97,Codec-18,Codec-6,Collections-26,Compress-21,Compress-23,Compress-24,Compress-30,Compress-45,Compress-46,Compress-5,Csv-1,Csv-10,Csv-4,Csv-6,JacksonCore-6,JacksonDatabind-42,JacksonDatabind-49,JacksonDatabind-57,JacksonDatabind-71,JacksonDatabind-74,JacksonXml-4,Jsoup-10,Jsoup-24,Jsoup-26,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-6,Jsoup-70,Jsoup-77,Jsoup-85,Jsoup-88,Jsoup-90,JxPath-8,Lang-10,Lang-14,Lang-21,Lang-26,Lang-33,Lang-42,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-5,Math-53,Math-57,Math-59,Math-72,Math-75,Math-91,Math-94,Math-95,Time-16"
all_fixed0,Qwen14-SFT,371,371,67,18.059299191374663,88.40298507462687,31.0,74.96039662545881,85.36585365853658,10,"Chart-1,Chart-11,Chart-24,Chart-4,Chart-7,Cli-17,Cli-27,Cli-28,Cli-37,Cli-5,Cli-8,Closure-101,Closure-131,Closure-97,Codec-7,Codec-9,Collections-26,Compress-19,Compress-21,Compress-24,Compress-38,Compress-45,Csv-4,Csv-6,Gson-11,Gson-15,Gson-18,JacksonCore-25,JacksonDatabind-24,JacksonDatabind-34,JacksonDatabind-49,JacksonDatabind-5,Jsoup-34,Jsoup-43,Jsoup-45,Jsoup-48,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-62,Jsoup-70,Jsoup-85,Jsoup-88,Jsoup-90,JxPath-20,Lang-14,Lang-31,Lang-33,Lang-43,Lang-45,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-34,Math-41,Math-53,Math-57,Math-59,Math-63,Math-70,Math-89,Math-94,Mockito-12,Time-16"
all_fixed0,Qwen14-PAFT,371,371,82,22.10242587601078,73.60975609756098,45.5,76.4318023432632,83.33333333333334,10,"Chart-1,Chart-11,Chart-12,Chart-24,Chart-7,Chart-8,Cli-26,Cli-28,Cli-35,Cli-40,Cli-5,Closure-113,Closure-128,Closure-44,Closure-57,Closure-94,Codec-2,Codec-6,Codec-7,Collections-26,Compress-1,Compress-11,Compress-19,Compress-21,Compress-23,Compress-26,Compress-46,Csv-10,Csv-4,Csv-6,Gson-11,Gson-15,Gson-18,Gson-6,JacksonCore-5,JacksonCore-6,JacksonDatabind-16,JacksonDatabind-19,JacksonDatabind-33,JacksonDatabind-49,JacksonDatabind-57,JacksonDatabind-70,JacksonDatabind-94,JacksonDatabind-99,Jsoup-24,Jsoup-26,Jsoup-39,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-62,Jsoup-75,Jsoup-77,Jsoup-85,Jsoup-88,Jsoup-90,JxPath-8,Lang-11,Lang-14,Lang-33,Lang-43,Lang-51,Lang-52,Lang-59,Math-2,Math-20,Math-27,Math-3,Math-30,Math-34,Math-41,Math-53,Math-57,Math-63,Math-69,Math-70,Math-89,Math-91,Math-94,Time-15"
common_plausible:Qwen14-Base+Qwen14-SFT,Qwen14-Base,371,40,40,10.781671159029651,190.15,129.5,68.72726019209071,70.83333333333333,0,"Chart-1,Chart-11,Chart-24,Chart-7,Cli-27,Cli-28,Cli-5,Closure-101,Closure-97,Collections-26,Compress-21,Compress-24,Compress-45,Csv-4,Csv-6,JacksonDatabind-49,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-70,Jsoup-85,Jsoup-88,Jsoup-90,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-53,Math-57,Math-59,Math-94,Time-16"
common_plausible:Qwen14-Base+Qwen14-SFT,Qwen14-SFT,371,40,40,10.781671159029651,52.5,24.5,79.17676198225362,85.71428571428571,0,"Chart-1,Chart-11,Chart-24,Chart-7,Cli-27,Cli-28,Cli-5,Closure-101,Closure-97,Collections-26,Compress-21,Compress-24,Compress-45,Csv-4,Csv-6,JacksonDatabind-49,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-70,Jsoup-85,Jsoup-88,Jsoup-90,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-53,Math-57,Math-59,Math-94,Time-16"
common_plausible:Qwen14-Base+Qwen14-PAFT,Qwen14-Base,371,48,48,12.93800539083558,162.70833333333334,115.0,69.37873917617533,75.0,0,"Chart-1,Chart-11,Chart-24,Chart-7,Chart-8,Cli-26,Cli-28,Cli-40,Cli-5,Closure-128,Closure-94,Codec-6,Collections-26,Compress-21,Compress-23,Compress-46,Csv-10,Csv-4,Csv-6,JacksonCore-6,JacksonDatabind-49,JacksonDatabind-57,Jsoup-24,Jsoup-26,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-77,Jsoup-85,Jsoup-88,Jsoup-90,JxPath-8,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-53,Math-57,Math-91,Math-94"
common_plausible:Qwen14-Base+Qwen14-PAFT,Qwen14-PAFT,371,48,48,12.93800539083558,63.3125,44.5,75.80960942322925,82.08841463414635,0,"Chart-1,Chart-11,Chart-24,Chart-7,Chart-8,Cli-26,Cli-28,Cli-40,Cli-5,Closure-128,Closure-94,Codec-6,Collections-26,Compress-21,Compress-23,Compress-46,Csv-10,Csv-4,Csv-6,JacksonCore-6,JacksonDatabind-49,JacksonDatabind-57,Jsoup-24,Jsoup-26,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-77,Jsoup-85,Jsoup-88,Jsoup-90,JxPath-8,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-53,Math-57,Math-91,Math-94"
common_plausible:Qwen14-SFT+Qwen14-PAFT,Qwen14-SFT,371,42,42,11.320754716981133,52.04761904761905,21.0,75.40154088419222,84.34959349593495,0,"Chart-1,Chart-11,Chart-24,Chart-7,Cli-28,Cli-5,Codec-7,Collections-26,Compress-19,Compress-21,Csv-4,Csv-6,Gson-11,Gson-15,Gson-18,JacksonDatabind-49,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-62,Jsoup-85,Jsoup-88,Jsoup-90,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-34,Math-41,Math-53,Math-57,Math-63,Math-70,Math-89,Math-94"
common_plausible:Qwen14-SFT+Qwen14-PAFT,Qwen14-PAFT,371,42,42,11.320754716981133,45.92857142857143,18.5,74.31261782784762,84.3205574912892,0,"Chart-1,Chart-11,Chart-24,Chart-7,Cli-28,Cli-5,Codec-7,Collections-26,Compress-19,Compress-21,Csv-4,Csv-6,Gson-11,Gson-15,Gson-18,JacksonDatabind-49,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-62,Jsoup-85,Jsoup-88,Jsoup-90,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-34,Math-41,Math-53,Math-57,Math-63,Math-70,Math-89,Math-94"
common_plausible:Qwen14-Base+Qwen14-SFT+Qwen14-PAFT,Qwen14-Base,371,32,32,8.62533692722372,179.625,114.5,68.35359643571218,70.83333333333333,0,"Chart-1,Chart-11,Chart-24,Chart-7,Cli-28,Cli-5,Collections-26,Compress-21,Csv-4,Csv-6,JacksonDatabind-49,Jsoup-43,Jsoup-45,Jsoup-51,Jsoup-57,Jsoup-59,Jsoup-85,Jsoup-88,Jsoup-90,Lang-14,Lang-33,Lang-43,Lang-52,Lang-59,Math-2,Math-27,Math-3,Math-30,Math-41,Math-53,Math-57,Math-94"
