all_avg_aed,all_avg_ccr,all_med_aed,all_med_ccr,all_plausible_patches,benchmark,bugs,expected_patch_count,fixed0_avg_aed,fixed0_avg_ccr,fixed0_med_aed,fixed0_med_ccr,fixed0_pass,fixed0_plausible,missing_results,model,no_op_all,no_op_fixed0,no_op_fixed0_pct,no_op_plausible,padded_bugs,pass1_est,result_files,truncated_bugs
169.62962962962962,74.70004156428263,89.0,83.33333333333334,27,Defects4J,371,1,169.62962962962962,74.70004156428263,89.0,83.33333333333334,7.277628032345014,27,0,opencoder8b,1,1,0.2695417789757413,0,0,7.277628032345014,371,371
143.93103448275863,78.30247650470955,81.0,88.0,29,Defects4J,371,1,143.93103448275863,78.30247650470955,81.0,88.0,7.816711590296496,29,0,opencoder8b-sft,12,12,3.234501347708895,0,0,7.816711590296496,371,371
45.81578947368421,81.29068101055094,30.5,86.10038610038609,38,Defects4J,371,1,45.81578947368421,81.29068101055094,30.5,86.10038610038609,10.242587601078167,38,0,opencoder8b-paft,15,15,4.0431266846361185,0,0,10.242587601078167,371,367
59.625,61.0813492063492,19.5,66.66666666666666,8,Defects4J,371,1,59.625,61.0813492063492,19.5,66.66666666666666,2.15633423180593,8,0,opencoder8b-sft-v2opt-assistonly-neutral-lr5e5-e1-20260620,45,45,12.129380053908356,0,0,2.15633423180593,371,0
86.25,58.065725124548656,57.5,66.66666666666666,12,Defects4J,371,1,86.25,58.065725124548656,57.5,66.66666666666666,3.234501347708895,12,0,opencoder8b-paft-v2opt-assistonly-w125-lr5e5-e1-20260620,47,47,12.668463611859837,0,0,3.234501347708895,371,0
202.98701298701297,67.86893263133057,151.0,75.0,77,Defects4J,371,1,202.98701298701297,67.86893263133057,151.0,75.0,20.754716981132077,77,0,qwen2.5coder14b,0,0,0.0,0,0,20.754716981132077,371,0
82.76190476190476,69.90164850984536,49.0,79.16666666666666,63,Defects4J,371,1,82.76190476190476,69.90164850984536,49.0,79.16666666666666,16.9811320754717,63,0,qwen2.5coder14b-sft-v2opt-assistonly-lr5e5-e1-20260619,6,6,1.6172506738544474,0,0,16.9811320754717,371,0
74.6268656716418,71.41184546129762,34.0,83.33333333333334,67,Defects4J,371,1,74.6268656716418,71.41184546129762,34.0,83.33333333333334,18.059299191374663,67,0,qwen2.5coder14b-paft-v2opt-assistonly-w125-lr5e5-e1-20260619,16,16,4.31266846361186,0,0,18.059299191374663,371,0
72.64285714285714,75.07289752344444,48.0,84.6875,56,Defects4J,371,1,72.64285714285714,75.07289752344444,48.0,84.6875,15.09433962264151,56,0,qwen2.5coder14b-paft-v2opt-assistonly-w110-lr5e5-e1-20260620,17,17,4.5822102425876015,0,0,15.09433962264151,371,0
87.95,65.9663205384239,42.5,79.08653846153847,60,Defects4J,371,1,87.95,65.9663205384239,42.5,79.08653846153847,16.172506738544474,60,0,qwen2.5coder14b-paft-light-assistonly-w125-lr5e5-e03-20260620,18,18,4.8517520215633425,0,0,16.172506738544474,371,0
89.125,70.91154188859386,60.5,77.1577380952381,40,Defects4J,371,1,89.125,70.91154188859386,60.5,77.1577380952381,10.781671159029651,40,0,qwen2.5coder14b-paft-light-assistonly-w125-lr5e5-e015-20260620,6,6,1.6172506738544474,0,0,10.781671159029651,371,0
202.98701298701297,67.86893263133057,151.0,75.0,77,Defects4J,371,1,202.98701298701297,67.86893263133057,151.0,75.0,20.754716981132077,77,0,qwen2.5coder14b,0,0,0.0,0,0,20.754716981132077,371,0
88.40298507462687,74.96039662545881,31.0,85.36585365853658,67,Defects4J,371,1,88.40298507462687,74.96039662545881,31.0,85.36585365853658,18.059299191374663,67,0,qwen2.5coder14b-sft-oldrecipe-lr2e4-e3-20260620,10,10,2.6954177897574128,0,0,18.059299191374663,371,0
76.29411764705883,80.49897017210627,35.5,89.44444444444444,68,Defects4J,371,1,76.29411764705883,80.49897017210627,35.5,89.44444444444444,18.328840970350406,68,0,qwen2.5coder14b-paft-oldrecipe-w2-lr2e4-e3-20260620,21,21,5.660377358490567,0,0,18.328840970350406,371,0
82.58571428571429,74.97763124856657,38.5,85.71428571428571,70,Defects4J,371,1,82.58571428571429,74.97763124856657,38.5,85.71428571428571,18.867924528301888,70,0,qwen2.5coder14b-paft-oldrecipe-w125-lr2e4-e3-20260620,6,6,1.6172506738544474,0,0,18.867924528301888,371,0
73.60975609756098,76.4318023432632,45.5,83.33333333333334,82,Defects4J,371,1,73.60975609756098,76.4318023432632,45.5,83.33333333333334,22.10242587601078,82,0,qwen2.5coder14b-paft-oldrecipe-w15-lr2e4-e3-20260620,10,10,2.6954177897574128,0,0,22.10242587601078,371,0
,,,,,QuixBugs-Python,,,114.27272727272727,84.72433579575674,25,90.47619047619048,,,,opencoder8b,,,0.0,,,27.500000000000004,,
,,,,,QuixBugs-Python,,,59.125,80.31245531539057,17.5,86.30514705882354,,,,opencoder8b-sft,,,2.5,,,20.0,,
,,,,,QuixBugs-Python,,,65.375,81.44426590566296,41.5,85.06944444444444,,,,opencoder8b-paft,,,0.0,,,20.0,,
